species,sex,length,age
"Softshell","female","10.7 10.6 10.4 10.4",14
"Softshell","female","10.6 10.5 10.4",25
"Spotted","male","3.1 3.1 3.0",21
"Softshell","male","9.6 9.4 9.5",26
"Spotted","female","4.4 4.2",37
"Softshell","female","10.7 10.7 10.6",30
"Softshell","female","10.4 10.7",22
"Spotted","male","4.0 4.3 4.0 4.1 4.1",41
"Spotted","male","3.2 3.2",16
"Spotted","female","4.1 4.3 4.2 4.0 4.2",12
"Spotted","female","5.4 5.2 5.5 5.5",40
"Spotted","female","4.9 4.9 5.1",66
"Spotted","female","3.8 3.8 4.1",22
"Spotted","female","4.9 4.9 5.0 4.9 4.9",44
"Spotted","female","5.3 5.3 5.3",77
"Spotted","female","4.3 4.5 4.3 4.7",42
"Softshell","male","9.4 9.3 9.6 9.4",17
"Softshell","male","8.5 8.4 8.2",21
"Softshell","female","10.0 10.2",22
"Softshell","male","10.3 10.2 10.2 10.3",36
"Softshell","female","10.4 10.4 10.4",24
"Softshell","male","8.4 8.6",15
"Softshell","male","8.5 8.7 8.4",11
"Spotted","male","3.7 3.9",23
"Spotted","female","4.9 5.0 5.1",60
"Softshell","female","10.6 10.4 10.6",24
"Spotted","female","5.9 5.7",72
"Spotted","female","5.5 5.4 5.4",53
"Softshell","female","10.2 10.0 10.1 10.2",18
"Softshell","female","10.5 10.4 10.5",19
"Softshell","male","10.6 10.7",19
"Softshell","female","11.0 10.9 10.9",19
"Softshell","male","9.4 9.4",12
"Softshell","female","10.3 10.4",12
"Spotted","female","4.2 4.3 4.1 4.3 3.9",38
"Softshell","female","10.3 10.2 10.2",16
"Spotted","female","4.3 4.2",19
"Spotted","female","4.3 4.3",21
"Softshell","female","10.8 10.7",28
"Softshell","female","10.5 10.6 10.7 10.7",25
"Spotted","male","3.5 3.5 3.6 3.6 3.6",31
"Softshell","male","9.4 9.3",14
"Softshell","male","10.0 9.9",26
"Softshell","female","10.0 10.0 9.9",15
"Spotted","male","3.3 3.5",17
"Spotted","male","2.7 2.9",21
"Softshell","male","8.5 8.7",6
"Spotted","male","2.8 2.6 2.8",17
"Spotted","male","3.4 3.4 3.5 3.7",27
"Spotted","female","5.9 5.9 5.9",117
"Softshell","female","10.3 10.5 10.2",15
"Spotted","male","3.4 3.4 3.1",32
"Spotted","female","4.1 3.9",19
"Spotted","female","5.9 6.3",92
"Spotted","male","3.9 3.9",33
"Softshell","female","10.8 10.6 10.6",27
"Spotted","male","3.0 2.8",7
"Softshell","male","8.8 9.2",23
"Softshell","male","9.1 9.1 9.0 9.3",20
"Spotted","female","4.0 4.2 4.1 4.1",35
"Spotted","female","4.5 4.6",53
"Spotted","male","3.0 2.8",21
"Softshell","male","9.0 9.3 9.1",17
"Spotted","male","4.1 4.1 4.0 4.3",31
"Spotted","male","4.0 3.7 3.9",41
"Spotted","female","5.5 5.2 5.1 5.4",35
"Softshell","female","11.0 10.9 11.0",26
"Spotted","female","4.1 4.0 4.2 4.0 4.0",34
"Softshell","female","10.4 10.3 10.5",12
"Spotted","male","4.3 4.1 4.5 4.4 4.3",52
"Spotted","female","5.1 4.9",64
"Spotted","male","3.6 3.7 3.8 3.9",45
"Spotted","male","4.0 4.1 4.0",42
"Softshell","female","11.3 11.2 11.1",26
"Spotted","male","3.5 3.8",26
"Softshell","male","9.5 9.6 9.7 9.4 9.6",12
"Softshell","male","9.7 9.7 9.6",18
"Softshell","male","8.5 8.4 8.4 8.5",9
"Spotted","male","2.0 2.0 2.1",16
"Spotted","female","3.6 3.7 3.8 3.4",35
"Spotted","male","3.3 3.7 3.4",32
"Softshell","male","8.9 8.9",9
"Spotted","male","3.4 3.3 3.3",23
"Spotted","female","3.2 3.3 3.0 3.1",10
"Softshell","female","10.8 10.8 10.6 10.5 10.8",22
"Softshell","female","10.5 10.5 10.4",15
"Spotted","female","4.7 4.6",46
"Softshell","female","10.5 10.5",24
"Spotted","female","4.9 4.9 5.0",50
"Softshell","female","9.8 10.0 9.7",30
"Spotted","male","3.4 3.5 3.3",34
"Softshell","female","10.8 10.8",25
"Softshell","female","10.0 9.9 9.7 10.0",28
"Softshell","female","11.1 11.0 10.8 11.1",28
"Softshell","female","11.0 10.9 10.9 10.9",44
"Softshell","female","10.3 10.3 10.3 10.5",24
"Spotted","male","3.7 3.8 3.8",27
"Spotted","female","5.4 5.3 5.3 4.9",101
"Softshell","female","10.7 10.5 10.6 10.6",25
"Softshell","female","10.3 10.3",14
"Softshell","female","10.8 11.1",20
"Spotted","female","4.9 4.9 5.0",32
"Spotted","male","3.9 3.8 3.5",43
"Spotted","male","3.5 3.4 3.4",33
"Softshell","male","9.6 9.1 9.5",26
"Softshell","female","10.1 9.9 9.9 10.1",15
"Spotted","female","3.7 3.9",33
"Softshell","female","10.1 10.1 10.2",16
"Spotted","female","5.0 5.0 4.9",48
"Spotted","female","5.4 5.2 5.5 5.3",58
"Softshell","female","10.3 10.0 10.0 10.0",20
"Spotted","male","4.4 4.4 4.4",37
"Spotted","male","3.7 3.7",32
"Softshell","male","9.2 9.3 9.3 9.2",27
"Spotted","female","5.7 5.8 5.5",75
"Softshell","male","9.2 9.0 9.2",17
"Softshell","female","10.4 10.6 10.3",17
"Spotted","female","4.0 4.1 4.0 4.1",36
"Softshell","female","10.3 10.5 10.6",16
"Softshell","male","9.2 9.3",12
"Spotted","male","3.5 3.6 3.6 3.5",26
"Softshell","female","11.0 10.9 10.9",17
"Spotted","female","4.3 4.4 4.3",37
"Softshell","male","9.6 9.6 9.3",18
"Softshell","female","10.6 10.6 10.4 10.3",19
"Spotted","female","4.8 4.9 4.8",60
"Spotted","male","3.8 3.5 3.7",26
"Spotted","female","5.6 5.7 5.9",44
"Spotted","female","5.1 5.0 5.1 5.0",52
"Spotted","female","5.2 5.2 5.2 5.2",66
"Spotted","female","5.4 5.3 5.3",52
"Softshell","male","8.1 8.1",10
"Softshell","female","11.0 11.2 11.3 11.0",32
"Spotted","male","2.9 3.1",21
"Spotted","male","2.9 2.9 2.8",22
"Softshell","female","10.7 10.6",21
"Spotted","female","5.3 5.2",60
"Spotted","male","2.6 2.6 2.5",16
"Spotted","female","4.5 4.6 4.7",45
"Spotted","female","5.0 4.7",45
"Spotted","female","4.4 4.8 4.6",50
"Softshell","female","11.0 11.1 11.2",26
"Softshell","male","8.6 8.8 8.8 8.6",16
"Softshell","female","11.1 10.9 11.1",24
"Spotted","male","2.9 2.7 2.6",12
"Softshell","female","10.1 9.9 10.0 10.0",13
"Spotted","male","3.7 3.5 3.8 3.5",28
"Softshell","female","10.2 10.5 10.1 10.3",13
"Spotted","female","4.1 4.0",28
"Spotted","male","4.0 4.1 4.1",32
"Spotted","female","5.6 5.5 5.6",96
"Softshell","female","10.1 10.1",17
"Softshell","female","10.3 10.5 10.4 10.6 10.5",27
"Softshell","male","9.5 9.7",23
"Spotted","female","5.0 4.5 4.5 4.8",36
"Softshell","female","10.8 10.7 10.9",29
"Softshell","female","10.0 10.1 10.1",21
"Softshell","male","9.5 9.2",24
"Softshell","female","10.7 10.5 10.6 10.4",27
"Spotted","female","4.4 4.5 4.5",30
"Softshell","female","10.4 10.5 10.5 10.3",18
"Softshell","male","9.1 9.2",5
"Spotted","female","4.1 4.1",40
"Spotted","female","4.7 4.7 4.5",46
"Softshell","female","10.7 11.0",19
"Softshell","female","10.4 10.6 10.9",22
"Spotted","male","3.1 3.6 3.5",24
"Spotted","female","4.7 4.7 4.4",36
"Spotted","female","5.7 5.4",53
"Softshell","female","10.9 11.1 11.0",17
"Spotted","female","4.9 4.7 4.8 4.8 4.8 4.7",62
"Spotted","male","3.9 4.0 4.1",38
"Spotted","female","5.3 5.0",60
"Softshell","male","8.0 8.2 8.0",9
"Softshell","female","10.8 11.0",31
"Spotted","female","4.6 5.0 5.0 4.7",43
"Softshell","male","9.2 9.4 9.1",34
"Spotted","female","5.4 5.3",44
"Softshell","female","10.4 10.6 10.2",32
"Softshell","female","10.1 9.9 9.9",26
"Softshell","male","9.0 8.9",17
"Softshell","female","10.4 10.4",20
"Softshell","male","8.9 9.1",17
"Softshell","male","9.1 9.4",15
"Spotted","female","5.7 5.7 5.8",42
"Softshell","male","9.7 9.5 9.8 9.8",28
"Spotted","male","2.0 2.2 2.0 2.1",6
"Spotted","female","4.2 4.3 4.1",53
"Spotted","male","2.7 3.0 2.6",26
"Spotted","male","4.0 4.0",57
"Softshell","female","9.7 9.8 9.6",14
"Spotted","male","3.4 3.4 3.6 3.5 3.6 3.4",42
"Spotted","female","5.6 5.3",49
"Softshell","female","10.3 10.2",27
"Spotted","male","3.0 3.2",26
"Softshell","female","10.6 10.5 10.8",31
"Spotted","female","4.2 4.4",36
"Spotted","male","2.4 2.6",18
"Softshell","female","10.0 9.8 10.1",11
"Softshell","male","8.9 8.9 8.9 8.9",14
"Spotted","female","4.7 4.8",53
"Softshell","female","10.2 10.2 10.4",13
"Spotted","female","5.1 5.3 5.3",68
"Spotted","male","4.3 4.5 4.4",29
"Spotted","female","5.4 5.4",77
"Spotted","female","5.9 5.8 5.6",53
"Softshell","male","9.1 9.1",16
"Spotted","male","2.6 2.9",14
"Softshell","male","9.4 9.2 9.2",20
"Spotted","female","4.1 4.3 4.4 4.3",47
"Softshell","female","11.4 11.3 11.2",16
"Spotted","female","5.4 5.8 5.3",62
"Spotted","female","4.3 4.4 4.4 4.7",46
"Spotted","female","4.4 4.1",31
"Softshell","male","9.3 9.3",11
"Spotted","female","5.6 5.5 5.5 5.3",59
"Softshell","female","9.6 9.7 9.6 9.7",18
"Softshell","female","10.3 10.3 10.4 10.2 10.3",20
"Softshell","female","10.1 9.8",20
"Spotted","male","2.6 2.9 2.7",17
"Spotted","female","5.4 5.6 5.3 5.4",68
"Softshell","male","9.0 9.1",11
"Softshell","female","10.0 10.2 10.3",32
"Spotted","male","3.2 3.1 3.2",28
"Spotted","male","3.1 3.4",28
"Softshell","male","8.4 8.5 8.7 8.5 8.6 8.6",13
"Softshell","female","9.9 9.9 9.9 9.9",20
"Softshell","female","10.0 9.9 9.9",9
"Spotted","male","2.9 2.8 2.9",22
"Softshell","male","9.7 9.5 9.6 9.4 9.8",27
"Spotted","male","2.7 2.9 2.9",21
"Spotted","female","4.4 4.5 4.5 4.3",45
"Spotted","male","3.8 3.7 3.6",47
"Softshell","female","10.7 10.8 10.7",11
"Softshell","male","9.0 9.1 9.2 9.0",9
"Softshell","female","10.6 10.5 10.8 10.7 10.6",25
"Spotted","female","4.9 5.2 5.0 5.0",32
"Softshell","female","9.4 9.5",19
"Softshell","female","10.4 10.4 10.4 10.3",11
"Spotted","female","4.6 4.5 4.4",45
"Spotted","male","2.6 2.7 2.8 2.6 2.8",21
"Softshell","female","10.0 9.9 9.9",23
"Softshell","female","10.1 10.0 10.1",15
"Spotted","male","2.2 2.2 2.1 2.0",7
"Softshell","male","9.2 9.4 9.4",13
"Spotted","female","5.3 5.7 5.6 5.5 5.3",78
"Softshell","female","10.1 10.2 10.0 10.2 10.2",22
"Spotted","female","4.8 4.9 4.8",54
"Spotted","female","5.3 5.2",70
"Spotted","female","5.0 5.1",51
"Spotted","female","5.2 5.3 5.3",58
"Spotted","female","5.0 5.0 4.7",52
"Spotted","female","4.5 4.2 4.5",33
"Softshell","female","10.2 10.2",22
"Softshell","female","10.0 9.9",19
"Spotted","female","5.0 5.1 5.4",31
"Softshell","female","10.6 10.7 10.3 10.3",28
"Spotted","female","4.7 4.9",31
"Spotted","female","5.5 5.4 5.5 5.5 5.3",46
"Softshell","female","10.4 10.4",16
"Softshell","male","8.6 8.6 8.4 8.6",12
"Softshell","female","11.0 10.8 11.0 10.7",28
"Softshell","female","11.2 11.0 11.2 10.9",28
"Spotted","male","3.4 3.3",23
"Spotted","female","4.5 4.6 4.5 4.4",23
"Spotted","female","5.2 5.4 5.3",56
"Softshell","male","9.5 9.4 9.5 9.3",10
"Softshell","female","10.3 10.1 9.9 9.9",18
"Softshell","female","10.0 9.9 10.0 9.8",17
"Spotted","female","5.0 4.9 4.9 4.7 4.9",70
"Softshell","male","9.0 8.9 9.0",10
"Softshell","male","8.9 8.7 8.8 8.5",7
"Softshell","female","9.9 10.1 10.1",20
"Softshell","female","9.8 10.0",12
"Spotted","female","4.6 4.5 4.8",38
"Spotted","female","5.6 5.7",59
"Spotted","male","3.2 3.4 3.4 3.3",11
"Spotted","male","3.7 3.6",31
"Softshell","female","10.7 10.6",18
"Spotted","female","4.6 4.9 5.0",61
"Spotted","male","3.2 3.1 3.0",11
"Softshell","female","11.6 11.6 11.7",31
"Softshell","female","9.9 9.5 9.9",16
"Spotted","female","5.1 5.3",45
"Spotted","male","3.1 3.2",21
"Spotted","male","3.8 3.6 3.5",36
"Spotted","female","5.5 5.5",69
"Softshell","male","9.6 9.8",19
"Spotted","female","5.1 5.1 5.1",72
"Spotted","female","5.1 5.5 5.5",58
"Softshell","male","9.7 10.2 10.0 10.0",19
"Softshell","female","10.9 10.8 10.8",20
"Softshell","female","10.0 9.9",19
"Spotted","female","5.8 5.8 5.7 6.0 5.9",77
"Softshell","male","9.3 9.2 9.1 9.3",29
"Softshell","female","10.5 10.4",16
"Spotted","male","4.3 4.3",36
"Softshell","female","11.1 11.2",19
"Spotted","male","3.0 2.8 2.7 2.7",21
"Softshell","female","10.8 10.9",22
"Softshell","male","9.4 9.3",14
"Spotted","female","5.6 5.6 5.5 5.6",68
"Spotted","male","4.0 4.4 4.2 4.4",47
"Softshell","female","10.3 10.3 10.4",20
"Softshell","male","9.1 9.4 9.3",19
"Softshell","male","9.5 9.3 9.4 9.5",13
"Spotted","male","3.3 3.1 3.2 3.2",26
"Spotted","male","2.9 3.0 3.0",13
"Softshell","male","9.5 9.5",18
"Spotted","female","5.3 5.5 5.4 5.3",63
"Spotted","male","3.6 3.5 3.4 3.6",33
"Softshell","female","10.9 11.0",28
"Spotted","female","4.8 5.0",62
"Softshell","female","10.5 10.2",24
"Softshell","female","11.1 10.8 11.1 11.0 11.3",12
"Softshell","female","10.2 10.4",31
"Spotted","female","4.6 4.5",47
"Softshell","female","11.2 11.3 11.5 11.3",20
"Spotted","female","4.9 4.9 4.8 4.7 4.8 4.7 4.9",61
"Softshell","male","8.8 8.8",17
"Spotted","female","4.3 4.1",63
"Softshell","female","10.4 10.3 10.6",15
"Spotted","male","4.2 4.1 4.3",32
"Spotted","female","5.0 4.9 5.1",74
"Softshell","female","10.5 10.3",23
"Softshell","male","9.7 9.8 10.0",20
"Spotted","male","4.0 3.8",32
"Softshell","male","9.8 9.9",23
"Softshell","female","9.7 9.6 9.5 9.3",7
"Spotted","female","5.2 5.1 5.3",42
"Softshell","male","10.1 9.9 9.9",29
"Spotted","female","5.2 5.2 5.2 5.2",36
"Softshell","male","8.2 8.5",14
"Spotted","female","4.6 4.5 4.7 4.7",30
"Softshell","male","8.7 8.5 8.7 8.5 8.7",11
"Softshell","female","9.7 9.9",26
"Spotted","female","5.6 5.9 5.5 5.6",73
"Spotted","female","5.2 5.1 5.5",63
"Spotted","female","5.1 5.3 5.4",39
"Softshell","female","10.1 10.0 10.1 10.3",23
"Spotted","male","3.9 4.0 4.2",44
"Softshell","male","9.5 9.5",28
"Spotted","female","4.2 4.1 4.0",20
"Spotted","female","5.3 5.1",50
"Softshell","female","10.8 10.7 10.6 10.6",22
"Softshell","male","8.9 9.0 8.8",23
"Softshell","female","10.4 10.1",37
"Spotted","male","3.7 3.8",22
"Spotted","male","4.2 4.1 4.2 4.1 4.1",16
"Softshell","female","11.0 10.9 10.8",29
"Softshell","male","9.9 9.6",20
"Spotted","male","4.0 3.9 3.8 3.9",48
"Softshell","female","10.2 10.1",18
"Spotted","female","5.2 5.2 5.1",61
"Spotted","female","4.7 4.6",60
"Softshell","female","10.3 10.5",23
"Spotted","female","4.1 3.7 4.0",28
"Spotted","male","4.0 4.1 4.1",37
"Spotted","male","3.9 4.0",39
"Softshell","male","10.3 10.2 10.1",15
"Softshell","male","8.8 8.7 8.8",17
"Softshell","female","10.1 10.1 10.0 9.9",21
"Softshell","male","8.2 8.1 8.2",11
"Spotted","male","3.8 3.7 3.8 3.4 3.5 3.6",33
"Softshell","female","10.2 10.3 10.1 10.3",16
"Softshell","male","9.4 9.7 9.5",24
"Softshell","male","8.6 8.6",9
"Spotted","male","3.2 3.4 3.7 3.6",26
"Softshell","male","9.0 9.1 9.1",11
"Softshell","male","9.1 9.1 9.4",22
"Softshell","female","10.6 10.5 10.5",23
"Spotted","female","4.8 4.7 4.6",35
"Softshell","female","10.7 10.7 10.7 10.6",35
"Softshell","female","10.9 10.9 10.9",24
"Softshell","female","10.9 10.6 10.7",43
"Spotted","female","4.7 5.0",53
"Softshell","male","9.1 9.0 8.8 9.2 8.9",9
"Softshell","male","10.0 9.9 9.9 9.8 9.9 9.8",23
"Softshell","male","9.3 9.2",19
"Softshell","male","9.7 10.0 9.8 9.9",34
"Spotted","female","4.5 4.5 4.4 4.6",61
"Softshell","female","10.0 10.3 10.2 10.2",25
"Softshell","male","9.6 9.5 9.6",18
"Softshell","female","10.0 9.9 10.1 10.1",29
"Softshell","female","11.1 11.2",28
"Spotted","male","3.7 3.9",32
"Spotted","male","3.6 3.6",26
"Spotted","male","2.9 2.9 2.8",11
"Spotted","male","3.6 3.3 3.3 3.4",33
"Spotted","female","6.1 6.0 6.1",55
"Spotted","male","3.2 3.1 3.2",16
"Spotted","female","5.6 5.8 5.7",68
"Spotted","male","4.5 4.7 4.3",64
"Softshell","male","9.2 9.2",17
"Spotted","female","4.1 4.2 4.0",26
"Spotted","male","3.5 3.4 3.4 3.6",21
"Softshell","male","8.7 9.0 8.7 8.7",21
"Softshell","female","11.1 11.1",34
"Spotted","male","3.5 3.6",29
"Spotted","male","3.4 3.5",24
"Softshell","male","8.6 8.9",9
"Spotted","female","4.9 5.0",50
"Softshell","female","10.0 10.1 10.2",18
"Spotted","male","2.9 2.9 2.9",17
"Softshell","male","9.4 9.6 9.4",20
"Softshell","male","9.5 9.2 9.4",32
"Softshell","female","10.7 10.8",12
"Softshell","male","9.9 9.8 9.9 9.8 10.1 10.0",22
"Spotted","male","3.8 3.7",27
"Softshell","female","10.7 10.7 10.8",21
"Spotted","female","5.6 5.3",80
"Softshell","female","9.4 9.5",12
"Softshell","male","9.3 9.3 9.4",11
"Spotted","female","3.8 3.7 3.8 3.6",20
"Spotted","female","3.6 3.7",20
"Softshell","female","10.2 10.0",18
"Softshell","male","8.7 8.8 8.7 8.7",19
"Spotted","female","4.9 4.9 5.0",54
"Softshell","female","10.9 10.7 10.9 11.0 10.7",23
"Spotted","female","5.5 5.6",49
"Spotted","male","3.9 3.6 3.8",57
"Softshell","female","10.9 10.7",35
"Softshell","male","9.0 9.0",21
"Spotted","female","5.3 5.2",60
"Softshell","female","11.2 11.5 11.4",24
"Spotted","male","3.7 3.3",32
"Softshell","male","9.3 9.2 9.3",27
"Softshell","male","9.2 9.2 9.1 9.1",23
"Softshell","female","10.2 10.3",37
"Softshell","male","9.3 9.0",15
"Spotted","male","2.7 2.7 2.5 2.8",19
"Softshell","female","11.3 11.3 11.2",28
